"record_id","month","day","year","AverageTemperatureFahr","AverageTemperatureUncertaintyFahr","City","country_id","Country","Latitude","Longitude"
474388,"01","01","1854",64.5908,36.23,"Auckland","NEW","New Zealand","36.17S","175.03E"
474389,"02","01","1854",65.372,35.6576,"Auckland","NEW","New Zealand","36.17S","175.03E"
474390,"03","01","1854",64.9688,35.3966,"Auckland","NEW","New Zealand","36.17S","175.03E"
474391,"04","01","1854",59.927,35.2022,"Auckland","NEW","New Zealand","36.17S","175.03E"
474392,"05","01","1854",57.5042,34.511,"Auckland","NEW","New Zealand","36.17S","175.03E"
3818661,"01","01","1860",25.4336,34.394,"Kiev","UKR","Ukraine","50.63N","31.69E"
3818662,"02","01","1860",23.3924,34.3832,"Kiev","UKR","Ukraine","50.63N","31.69E"
3818663,"03","01","1860",24.8432,35.7134,"Kiev","UKR","Ukraine","50.63N","31.69E"
3818664,"04","01","1860",45.878,34.1402,"Kiev","UKR","Ukraine","50.63N","31.69E"
3818665,"05","01","1860",57.7094,33.1016,"Kiev","UKR","Ukraine","50.63N","31.69E"
